module,unroll_factor,metric_name,metric_val
addmm,2,target_clock_period,10.0
addmm,2,slack,2.725
addmm,2,clock_period_minus_wns,7.275
addmm,2,DSPs,0.1
addmm,2,LUTs,0.55
addmm,2,RAMs,1.46
addmm,2,Registers,0.39
addmm,2,LatencyBest,3904
addmm,2,LatencyAvg,3904
addmm,2,LatencyWorst,3904
addmm,2,PipelineII,3635
addmm,2,elapsed_time,50.63
addmm,4,target_clock_period,10.0
addmm,4,slack,2.682
addmm,4,clock_period_minus_wns,7.318
addmm,4,DSPs,0.1
addmm,4,LUTs,0.54
addmm,4,RAMs,1.39
addmm,4,Registers,0.4
addmm,4,LatencyBest,3638
addmm,4,LatencyAvg,3638
addmm,4,LatencyWorst,3638
addmm,4,PipelineII,3638
addmm,4,elapsed_time,50.5
addmm,8,target_clock_period,10.0
addmm,8,slack,2.682
addmm,8,clock_period_minus_wns,7.318
addmm,8,DSPs,0.1
addmm,8,LUTs,0.54
addmm,8,RAMs,1.39
addmm,8,Registers,0.4
addmm,8,LatencyBest,3638
addmm,8,LatencyAvg,3638
addmm,8,LatencyWorst,3638
addmm,8,PipelineII,3638
addmm,8,elapsed_time,50.31
addmm,16,target_clock_period,10.0
addmm,16,slack,3.089
addmm,16,clock_period_minus_wns,6.911
addmm,16,DSPs,0.17
addmm,16,LUTs,0.51
addmm,16,RAMs,0.47
addmm,16,Registers,0.36
addmm,16,LatencyBest,2134
addmm,16,LatencyAvg,2134
addmm,16,LatencyWorst,2134
addmm,16,PipelineII,2001
addmm,16,elapsed_time,54.12
addmm,32,target_clock_period,10.0
addmm,32,slack,3.026
addmm,32,clock_period_minus_wns,6.974
addmm,32,DSPs,0.17
addmm,32,LUTs,0.49
addmm,32,RAMs,0.4
addmm,32,Registers,0.37
addmm,32,LatencyBest,2001
addmm,32,LatencyAvg,2001
addmm,32,LatencyWorst,2001
addmm,32,PipelineII,2001
addmm,32,elapsed_time,53.26
addmm,64,target_clock_period,10.0
addmm,64,slack,3.026
addmm,64,clock_period_minus_wns,6.974
addmm,64,DSPs,0.17
addmm,64,LUTs,0.49
addmm,64,RAMs,0.4
addmm,64,Registers,0.37
addmm,64,LatencyBest,2001
addmm,64,LatencyAvg,2001
addmm,64,LatencyWorst,2001
addmm,64,PipelineII,2001
addmm,64,elapsed_time,52.35
addmm,128,target_clock_period,10.0
addmm,128,slack,3.227
addmm,128,clock_period_minus_wns,6.773
addmm,128,DSPs,0.17
addmm,128,LUTs,0.49
addmm,128,RAMs,0.4
addmm,128,Registers,0.37
addmm,128,LatencyBest,2001
addmm,128,LatencyAvg,2001
addmm,128,LatencyWorst,2001
addmm,128,PipelineII,2001
addmm,128,elapsed_time,53.2
addmm,256,target_clock_period,10.0
addmm,256,slack,2.744
addmm,256,clock_period_minus_wns,7.256
addmm,256,DSPs,0.17
addmm,256,LUTs,0.49
addmm,256,RAMs,0.4
addmm,256,Registers,0.37
addmm,256,LatencyBest,2001
addmm,256,LatencyAvg,2001
addmm,256,LatencyWorst,2001
addmm,256,PipelineII,2001
addmm,256,elapsed_time,54.32
addmm,512,target_clock_period,10.0
addmm,512,slack,3.089
addmm,512,clock_period_minus_wns,6.911
addmm,512,DSPs,0.17
addmm,512,LUTs,0.51
addmm,512,RAMs,0.47
addmm,512,Registers,0.36
addmm,512,LatencyBest,2134
addmm,512,LatencyAvg,2134
addmm,512,LatencyWorst,2134
addmm,512,PipelineII,2001
addmm,512,elapsed_time,52.67
addmm,1024,target_clock_period,10.0
addmm,1024,slack,3.026
addmm,1024,clock_period_minus_wns,6.974
addmm,1024,DSPs,0.17
addmm,1024,LUTs,0.49
addmm,1024,RAMs,0.4
addmm,1024,Registers,0.37
addmm,1024,LatencyBest,2001
addmm,1024,LatencyAvg,2001
addmm,1024,LatencyWorst,2001
addmm,1024,PipelineII,2001
addmm,1024,elapsed_time,51.77
addmm,2048,target_clock_period,10.0
addmm,2048,slack,2.755
addmm,2048,clock_period_minus_wns,7.245
addmm,2048,DSPs,0.17
addmm,2048,LUTs,0.51
addmm,2048,RAMs,0.5
addmm,2048,Registers,0.36
addmm,2048,LatencyBest,2270
addmm,2048,LatencyAvg,2270
addmm,2048,LatencyWorst,2270
addmm,2048,PipelineII,2001
addmm,2048,elapsed_time,62.11
addmm,4096,target_clock_period,10.0
addmm,4096,slack,3.089
addmm,4096,clock_period_minus_wns,6.911
addmm,4096,DSPs,0.17
addmm,4096,LUTs,0.51
addmm,4096,RAMs,0.47
addmm,4096,Registers,0.36
addmm,4096,LatencyBest,2134
addmm,4096,LatencyAvg,2134
addmm,4096,LatencyWorst,2134
addmm,4096,PipelineII,2001
addmm,4096,elapsed_time,55.94
addmm,8192,target_clock_period,10.0
addmm,8192,slack,3.026
addmm,8192,clock_period_minus_wns,6.974
addmm,8192,DSPs,0.17
addmm,8192,LUTs,0.49
addmm,8192,RAMs,0.4
addmm,8192,Registers,0.37
addmm,8192,LatencyBest,2001
addmm,8192,LatencyAvg,2001
addmm,8192,LatencyWorst,2001
addmm,8192,PipelineII,2001
addmm,8192,elapsed_time,61.5
addmm,16384,target_clock_period,10.0
addmm,16384,slack,3.089
addmm,16384,clock_period_minus_wns,6.911
addmm,16384,DSPs,0.17
addmm,16384,LUTs,0.51
addmm,16384,RAMs,0.47
addmm,16384,Registers,0.36
addmm,16384,LatencyBest,2134
addmm,16384,LatencyAvg,2134
addmm,16384,LatencyWorst,2134
addmm,16384,PipelineII,2001
addmm,16384,elapsed_time,63.02
addmm,32768,target_clock_period,10.0
addmm,32768,slack,3.026
addmm,32768,clock_period_minus_wns,6.974
addmm,32768,DSPs,0.17
addmm,32768,LUTs,0.49
addmm,32768,RAMs,0.4
addmm,32768,Registers,0.37
addmm,32768,LatencyBest,2001
addmm,32768,LatencyAvg,2001
addmm,32768,LatencyWorst,2001
addmm,32768,PipelineII,2001
addmm,32768,elapsed_time,55.89
addmm,65536,target_clock_period,10.0
addmm,65536,slack,3.089
addmm,65536,clock_period_minus_wns,6.911
addmm,65536,DSPs,0.17
addmm,65536,LUTs,0.51
addmm,65536,RAMs,0.47
addmm,65536,Registers,0.36
addmm,65536,LatencyBest,2134
addmm,65536,LatencyAvg,2134
addmm,65536,LatencyWorst,2134
addmm,65536,PipelineII,2001
addmm,65536,elapsed_time,55.83
braggnn,2,target_clock_period,10.0
braggnn,2,slack,1.042
braggnn,2,clock_period_minus_wns,8.958
braggnn,2,DSPs,0.2
braggnn,2,LUTs,4.38
braggnn,2,RAMs,6.52
braggnn,2,Registers,3.27
braggnn,2,LatencyBest,208251
braggnn,2,LatencyAvg,208251
braggnn,2,LatencyWorst,208251
braggnn,2,PipelineII,208251
braggnn,2,elapsed_time,1860.74
braggnn,4,target_clock_period,10.0
braggnn,4,slack,1.315
braggnn,4,clock_period_minus_wns,8.685
braggnn,4,DSPs,0.57
braggnn,4,LUTs,5.16
braggnn,4,RAMs,11.53
braggnn,4,Registers,3.58
braggnn,4,LatencyBest,264806
braggnn,4,LatencyAvg,264806
braggnn,4,LatencyWorst,264806
braggnn,4,PipelineII,264806
braggnn,4,elapsed_time,1718.5
braggnn,8,target_clock_period,10.0
braggnn,8,slack,1.414
braggnn,8,clock_period_minus_wns,8.586
braggnn,8,DSPs,1.16
braggnn,8,LUTs,6.34
braggnn,8,RAMs,18.5
braggnn,8,Registers,4.07
braggnn,8,LatencyBest,263754
braggnn,8,LatencyAvg,263754
braggnn,8,LatencyWorst,263754
braggnn,8,PipelineII,263621
braggnn,8,elapsed_time,2134.65
braggnn,16,target_clock_period,10.0
braggnn,16,slack,0.015
braggnn,16,clock_period_minus_wns,9.985
braggnn,16,DSPs,2.67
braggnn,16,LUTs,8.15
braggnn,16,RAMs,32.22
braggnn,16,Registers,5.18
braggnn,16,LatencyBest,264743
braggnn,16,LatencyAvg,264743
braggnn,16,LatencyWorst,264743
braggnn,16,PipelineII,264743
braggnn,16,elapsed_time,3436.57
braggnn,32,target_clock_period,10.0
braggnn,32,slack,0.284
braggnn,32,clock_period_minus_wns,9.716
braggnn,32,DSPs,2.24
braggnn,32,LUTs,9.76
braggnn,32,RAMs,67.01
braggnn,32,Registers,5.72
braggnn,32,LatencyBest,255137
braggnn,32,LatencyAvg,255137
braggnn,32,LatencyWorst,255137
braggnn,32,PipelineII,255004
braggnn,32,elapsed_time,8180.36
braggnn,64,target_clock_period,10.0
braggnn,64,slack,0.366
braggnn,64,clock_period_minus_wns,9.634
braggnn,64,DSPs,2.27
braggnn,64,LUTs,10.18
braggnn,64,RAMs,75.84
braggnn,64,Registers,5.79
braggnn,64,LatencyBest,255141
braggnn,64,LatencyAvg,255141
braggnn,64,LatencyWorst,255141
braggnn,64,PipelineII,255008
braggnn,64,elapsed_time,10176.4
braggnn,512,target_clock_period,10.0
braggnn,512,slack,-1.11
braggnn,512,clock_period_minus_wns,11.11
braggnn,512,DSPs,0.16
braggnn,512,LUTs,13.2
braggnn,512,RAMs,99.9
braggnn,512,Registers,5.96
braggnn,512,LatencyBest,198359
braggnn,512,LatencyAvg,198359
braggnn,512,LatencyWorst,198359
braggnn,512,PipelineII,198226
braggnn,512,elapsed_time,40685.8
braggnn,1024,target_clock_period,10.0
braggnn,1024,slack,0.842
braggnn,1024,clock_period_minus_wns,9.158
braggnn,1024,DSPs,0.09
braggnn,1024,LUTs,4.83
braggnn,1024,RAMs,3.47
braggnn,1024,Registers,3.13
braggnn,1024,LatencyBest,135785
braggnn,1024,LatencyAvg,135785
braggnn,1024,LatencyWorst,135785
braggnn,1024,PipelineII,135652
braggnn,1024,elapsed_time,11153.4
conv,2,target_clock_period,10.0
conv,2,slack,2.941
conv,2,clock_period_minus_wns,7.059
conv,2,DSPs,0.06
conv,2,LUTs,0.26
conv,2,RAMs,0.3
conv,2,Registers,0.17
conv,2,LatencyBest,39153
conv,2,LatencyAvg,39153
conv,2,LatencyWorst,39153
conv,2,PipelineII,39153
conv,2,elapsed_time,42.73
conv,4,target_clock_period,10.0
conv,4,slack,2.637
conv,4,clock_period_minus_wns,7.3629999999999995
conv,4,DSPs,0.06
conv,4,LUTs,0.28
conv,4,RAMs,0.62
conv,4,Registers,0.19
conv,4,LatencyBest,40440
conv,4,LatencyAvg,40440
conv,4,LatencyWorst,40440
conv,4,PipelineII,40065
conv,4,elapsed_time,42.89
conv,8,target_clock_period,10.0
conv,8,slack,2.772
conv,8,clock_period_minus_wns,7.228
conv,8,DSPs,0.06
conv,8,LUTs,0.28
conv,8,RAMs,0.6
conv,8,Registers,0.19
conv,8,LatencyBest,40065
conv,8,LatencyAvg,40065
conv,8,LatencyWorst,40065
conv,8,PipelineII,40065
conv,8,elapsed_time,38.85
conv,16,target_clock_period,10.0
conv,16,slack,2.65
conv,16,clock_period_minus_wns,7.35
conv,16,DSPs,0.06
conv,16,LUTs,0.34
conv,16,RAMs,1.51
conv,16,Registers,0.22
conv,16,LatencyBest,40411
conv,16,LatencyAvg,40411
conv,16,LatencyWorst,40411
conv,16,PipelineII,40036
conv,16,elapsed_time,53.02
conv,32,target_clock_period,10.0
conv,32,slack,1.916
conv,32,clock_period_minus_wns,8.084
conv,32,DSPs,0.06
conv,32,LUTs,0.49
conv,32,RAMs,4.17
conv,32,Registers,0.28
conv,32,LatencyBest,37889
conv,32,LatencyAvg,37889
conv,32,LatencyWorst,37889
conv,32,PipelineII,37889
conv,32,elapsed_time,69.25
conv,64,target_clock_period,10.0
conv,64,slack,1.916
conv,64,clock_period_minus_wns,8.084
conv,64,DSPs,0.06
conv,64,LUTs,0.49
conv,64,RAMs,4.17
conv,64,Registers,0.28
conv,64,LatencyBest,37889
conv,64,LatencyAvg,37889
conv,64,LatencyWorst,37889
conv,64,PipelineII,37889
conv,64,elapsed_time,66.4
conv,128,target_clock_period,10.0
conv,128,slack,1.597
conv,128,clock_period_minus_wns,8.403
conv,128,DSPs,0.06
conv,128,LUTs,0.73
conv,128,RAMs,8.21
conv,128,Registers,0.38
conv,128,LatencyBest,38260
conv,128,LatencyAvg,38260
conv,128,LatencyWorst,38260
conv,128,PipelineII,37885
conv,128,elapsed_time,105.11
conv,256,target_clock_period,10.0
conv,256,slack,0.392
conv,256,clock_period_minus_wns,9.608
conv,256,DSPs,0.06
conv,256,LUTs,1.18
conv,256,RAMs,16.22
conv,256,Registers,0.58
conv,256,LatencyBest,37883
conv,256,LatencyAvg,37883
conv,256,LatencyWorst,37883
conv,256,PipelineII,37883
conv,256,elapsed_time,186.56
conv,512,target_clock_period,10.0
conv,512,slack,3.09
conv,512,clock_period_minus_wns,6.91
conv,512,DSPs,0.06
conv,512,LUTs,0.37
conv,512,RAMs,0.22
conv,512,Registers,0.19
conv,512,LatencyBest,20526
conv,512,LatencyAvg,20526
conv,512,LatencyWorst,20526
conv,512,PipelineII,20151
conv,512,elapsed_time,82.77
conv,1024,target_clock_period,10.0
conv,1024,slack,3.09
conv,1024,clock_period_minus_wns,6.91
conv,1024,DSPs,0.06
conv,1024,LUTs,0.37
conv,1024,RAMs,0.22
conv,1024,Registers,0.19
conv,1024,LatencyBest,20526
conv,1024,LatencyAvg,20526
conv,1024,LatencyWorst,20526
conv,1024,PipelineII,20151
conv,1024,elapsed_time,81.76
conv,2048,target_clock_period,10.0
conv,2048,slack,2.876
conv,2048,clock_period_minus_wns,7.1240000000000006
conv,2048,DSPs,0.06
conv,2048,LUTs,0.36
conv,2048,RAMs,0.2
conv,2048,Registers,0.19
conv,2048,LatencyBest,20151
conv,2048,LatencyAvg,20151
conv,2048,LatencyWorst,20151
conv,2048,PipelineII,20151
conv,2048,elapsed_time,74.35
conv,4096,target_clock_period,10.0
conv,4096,slack,3.09
conv,4096,clock_period_minus_wns,6.91
conv,4096,DSPs,0.06
conv,4096,LUTs,0.37
conv,4096,RAMs,0.22
conv,4096,Registers,0.19
conv,4096,LatencyBest,20526
conv,4096,LatencyAvg,20526
conv,4096,LatencyWorst,20526
conv,4096,PipelineII,20151
conv,4096,elapsed_time,79.58
matmul,2,target_clock_period,10.0
matmul,2,slack,2.604
matmul,2,clock_period_minus_wns,7.396
matmul,2,DSPs,0.07
matmul,2,LUTs,0.28
matmul,2,RAMs,0.69
matmul,2,Registers,0.2
matmul,2,LatencyBest,3378
matmul,2,LatencyAvg,3378
matmul,2,LatencyWorst,3378
matmul,2,PipelineII,3378
matmul,2,elapsed_time,39.4
matmul,4,target_clock_period,10.0
matmul,4,slack,2.685
matmul,4,clock_period_minus_wns,7.3149999999999995
matmul,4,DSPs,0.07
matmul,4,LUTs,0.29
matmul,4,RAMs,0.74
matmul,4,Registers,0.2
matmul,4,LatencyBest,3510
matmul,4,LatencyAvg,3510
matmul,4,LatencyWorst,3510
matmul,4,PipelineII,3377
matmul,4,elapsed_time,41.94
matmul,8,target_clock_period,10.0
matmul,8,slack,2.604
matmul,8,clock_period_minus_wns,7.396
matmul,8,DSPs,0.07
matmul,8,LUTs,0.28
matmul,8,RAMs,0.69
matmul,8,Registers,0.2
matmul,8,LatencyBest,3378
matmul,8,LatencyAvg,3378
matmul,8,LatencyWorst,3378
matmul,8,PipelineII,3378
matmul,8,elapsed_time,37.25
matmul,16,target_clock_period,10.0
matmul,16,slack,2.826
matmul,16,clock_period_minus_wns,7.1739999999999995
matmul,16,DSPs,0.1
matmul,16,LUTs,0.26
matmul,16,RAMs,0.2
matmul,16,Registers,0.19
matmul,16,LatencyBest,1867
matmul,16,LatencyAvg,1867
matmul,16,LatencyWorst,1867
matmul,16,PipelineII,1867
matmul,16,elapsed_time,47.48
matmul,32,target_clock_period,10.0
matmul,32,slack,3.007
matmul,32,clock_period_minus_wns,6.993
matmul,32,DSPs,0.1
matmul,32,LUTs,0.28
matmul,32,RAMs,0.25
matmul,32,Registers,0.18
matmul,32,LatencyBest,2000
matmul,32,LatencyAvg,2000
matmul,32,LatencyWorst,2000
matmul,32,PipelineII,1867
matmul,32,elapsed_time,39.64
matmul,64,target_clock_period,10.0
matmul,64,slack,3.007
matmul,64,clock_period_minus_wns,6.993
matmul,64,DSPs,0.1
matmul,64,LUTs,0.28
matmul,64,RAMs,0.25
matmul,64,Registers,0.18
matmul,64,LatencyBest,2000
matmul,64,LatencyAvg,2000
matmul,64,LatencyWorst,2000
matmul,64,PipelineII,1867
matmul,64,elapsed_time,39.65
matmul,128,target_clock_period,10.0
matmul,128,slack,2.826
matmul,128,clock_period_minus_wns,7.1739999999999995
matmul,128,DSPs,0.1
matmul,128,LUTs,0.26
matmul,128,RAMs,0.2
matmul,128,Registers,0.19
matmul,128,LatencyBest,1867
matmul,128,LatencyAvg,1867
matmul,128,LatencyWorst,1867
matmul,128,PipelineII,1867
matmul,128,elapsed_time,40.06
matmul,256,target_clock_period,10.0
matmul,256,slack,2.826
matmul,256,clock_period_minus_wns,7.1739999999999995
matmul,256,DSPs,0.1
matmul,256,LUTs,0.26
matmul,256,RAMs,0.2
matmul,256,Registers,0.19
matmul,256,LatencyBest,1867
matmul,256,LatencyAvg,1867
matmul,256,LatencyWorst,1867
matmul,256,PipelineII,1867
matmul,256,elapsed_time,38.9
matmul,512,target_clock_period,10.0
matmul,512,slack,3.007
matmul,512,clock_period_minus_wns,6.993
matmul,512,DSPs,0.1
matmul,512,LUTs,0.28
matmul,512,RAMs,0.25
matmul,512,Registers,0.18
matmul,512,LatencyBest,2000
matmul,512,LatencyAvg,2000
matmul,512,LatencyWorst,2000
matmul,512,PipelineII,1867
matmul,512,elapsed_time,38.7
matmul,1024,target_clock_period,10.0
matmul,1024,slack,2.826
matmul,1024,clock_period_minus_wns,7.1739999999999995
matmul,1024,DSPs,0.1
matmul,1024,LUTs,0.26
matmul,1024,RAMs,0.2
matmul,1024,Registers,0.19
matmul,1024,LatencyBest,1867
matmul,1024,LatencyAvg,1867
matmul,1024,LatencyWorst,1867
matmul,1024,PipelineII,1867
matmul,1024,elapsed_time,40.29
soft_max,2,target_clock_period,10.0
soft_max,2,slack,2.602
soft_max,2,clock_period_minus_wns,7.398
soft_max,2,DSPs,0.9
soft_max,2,LUTs,1.34
soft_max,2,RAMs,4.84
soft_max,2,Registers,0.9
soft_max,2,LatencyBest,7543
soft_max,2,LatencyAvg,7543
soft_max,2,LatencyWorst,7543
soft_max,2,PipelineII,6563
soft_max,2,elapsed_time,111.42
soft_max,4,target_clock_period,10.0
soft_max,4,slack,2.602
soft_max,4,clock_period_minus_wns,7.398
soft_max,4,DSPs,0.9
soft_max,4,LUTs,1.34
soft_max,4,RAMs,4.84
soft_max,4,Registers,0.9
soft_max,4,LatencyBest,7543
soft_max,4,LatencyAvg,7543
soft_max,4,LatencyWorst,7543
soft_max,4,PipelineII,6563
soft_max,4,elapsed_time,110.84
soft_max,8,target_clock_period,10.0
soft_max,8,slack,2.602
soft_max,8,clock_period_minus_wns,7.398
soft_max,8,DSPs,0.9
soft_max,8,LUTs,1.34
soft_max,8,RAMs,4.84
soft_max,8,Registers,0.9
soft_max,8,LatencyBest,7543
soft_max,8,LatencyAvg,7543
soft_max,8,LatencyWorst,7543
soft_max,8,PipelineII,6563
soft_max,8,elapsed_time,112.36
soft_max,16,target_clock_period,10.0
soft_max,16,slack,0.891
soft_max,16,clock_period_minus_wns,9.109
soft_max,16,DSPs,0.07
soft_max,16,LUTs,3.02
soft_max,16,RAMs,48.46
soft_max,16,Registers,0.86
soft_max,16,LatencyBest,11738
soft_max,16,LatencyAvg,11738
soft_max,16,LatencyWorst,11738
soft_max,16,PipelineII,11738
soft_max,16,elapsed_time,611.18
soft_max,32,target_clock_period,10.0
soft_max,32,slack,0.915
soft_max,32,clock_period_minus_wns,9.085
soft_max,32,DSPs,0.07
soft_max,32,LUTs,3.02
soft_max,32,RAMs,48.46
soft_max,32,Registers,0.86
soft_max,32,LatencyBest,11738
soft_max,32,LatencyAvg,11738
soft_max,32,LatencyWorst,11738
soft_max,32,PipelineII,11738
soft_max,32,elapsed_time,626.28
soft_max,64,target_clock_period,10.0
soft_max,64,slack,0.891
soft_max,64,clock_period_minus_wns,9.109
soft_max,64,DSPs,0.07
soft_max,64,LUTs,3.02
soft_max,64,RAMs,48.46
soft_max,64,Registers,0.86
soft_max,64,LatencyBest,11738
soft_max,64,LatencyAvg,11738
soft_max,64,LatencyWorst,11738
soft_max,64,PipelineII,11738
soft_max,64,elapsed_time,638.54
soft_max,128,target_clock_period,10.0
soft_max,128,slack,0.31
soft_max,128,clock_period_minus_wns,9.69
soft_max,128,DSPs,0.07
soft_max,128,LUTs,4.94
soft_max,128,RAMs,96.48
soft_max,128,Registers,0.91
soft_max,128,LatencyBest,11734
soft_max,128,LatencyAvg,11734
soft_max,128,LatencyWorst,11734
soft_max,128,PipelineII,11734
soft_max,128,elapsed_time,1559.39
soft_max,256,target_clock_period,10.0
soft_max,256,slack,-0.061
soft_max,256,clock_period_minus_wns,10.061
soft_max,256,DSPs,0.07
soft_max,256,LUTs,11.93
soft_max,256,RAMs,100.0
soft_max,256,Registers,3.19
soft_max,256,LatencyBest,12711
soft_max,256,LatencyAvg,12711
soft_max,256,LatencyWorst,12711
soft_max,256,PipelineII,11731
soft_max,256,elapsed_time,3788.22
soft_max,512,target_clock_period,10.0
soft_max,512,slack,2.889
soft_max,512,clock_period_minus_wns,7.111000000000001
soft_max,512,DSPs,0.35
soft_max,512,LUTs,1.86
soft_max,512,RAMs,0.87
soft_max,512,Registers,0.86
soft_max,512,LatencyBest,13700
soft_max,512,LatencyAvg,13700
soft_max,512,LatencyWorst,13700
soft_max,512,PipelineII,12720
soft_max,512,elapsed_time,1848.75
soft_max,1024,target_clock_period,10.0
soft_max,1024,slack,2.876
soft_max,1024,clock_period_minus_wns,7.1240000000000006
soft_max,1024,DSPs,0.35
soft_max,1024,LUTs,1.74
soft_max,1024,RAMs,0.84
soft_max,1024,Registers,0.86
soft_max,1024,LatencyBest,12720
soft_max,1024,LatencyAvg,12720
soft_max,1024,LatencyWorst,12720
soft_max,1024,PipelineII,12720
soft_max,1024,elapsed_time,1127.19
